station_id,station_name,station_latitude,station_longitude,first_used_datetime,last_used_datetime
2023,E 55 St & Lexington Ave,40.75968085,-73.97031366,2018-09-21 19:12:22.806,2018-09-21 19:12:22.806
3002,South End Ave & Liberty St,40.711512,-74.01575600000001,2018-04-27 20:44:46.163,2019-11-09 09:18:23.812
3163,Central Park West & W 68 St,40.7734066,-73.97782542,2018-06-24 09:18:08.783,2018-06-24 09:25:49.156
3165,Central Park West & W 72 St,40.77579376683666,-73.97620573639871,2018-10-23 13:49:35.836,2018-10-23 13:50:01.930
3167,Amsterdam Ave & W 73 St,40.779668090073116,-73.98093044757842,2019-06-22 14:05:34.438,2019-06-22 14:06:29.632
3168,Central Park West & W 85 St,40.78472675,-73.96961715,2019-05-18 13:54:26.139,2019-05-18 13:57:14.316
3170,W 84 St & Columbus Ave,40.78499979,-73.97283406,2019-04-13 13:39:07.570,2019-04-13 13:39:14.337
3256,Pier 40 - Hudson River Park,40.7277140777778,-74.01129573583603,2018-06-26 13:23:31.218,2018-07-29 17:34:58.096
3258,W 27 St & 10 Ave,40.750181563256824,-74.00218427181244,2019-04-14 12:14:45.501,2019-04-14 12:14:45.501
3311,Columbia St & Kane St,40.68763155,-74.0016256,2018-06-15 17:42:35.685,2018-06-15 17:42:35.685
3356,Amsterdam Ave & W 66 St,40.7746671,-73.98470567,2018-08-06 18:37:07.725,2018-08-06 18:37:07.725
3360,Amsterdam Ave & W 79 St,40.7829391,-73.9786517,2019-06-11 15:22:42.703,2019-06-11 15:23:10.853
3400,E 110 St & Madison Ave,40.796153499999996,-73.94782145,2018-09-15 20:33:10.200,2018-09-15 20:33:10.200
3415,Prospect Pl & 6 Ave,40.6793307,-73.97519523,2018-04-29 09:48:19.558,2018-04-29 09:48:19.558
3435,Grand St & Elizabeth St,40.718821999999996,-73.99596,2019-08-17 14:07:15.074,2019-08-17 14:07:15.074
3461,Murray St & Greenwich St,40.71485150526252,-74.01122331619263,2018-07-09 18:06:46.732,2019-07-10 16:39:20.859
3467,W Broadway & Spring Street,40.72494672359416,-74.00165855884552,2018-06-24 18:08:54.097,2019-09-13 11:36:43.047
3472,W 15 St & 10 Ave,40.742753828659026,-74.00747358798982,2019-04-08 15:57:57.686,2019-04-08 15:57:57.686
3539,W 116 St & Amsterdam Ave,40.8067581,-73.9607082,2018-08-04 18:14:38.910,2018-08-04 18:14:38.910
3540,Morningside Ave & W 123 St,40.81,-73.9551508,2019-08-30 20:08:37.959,2019-08-30 20:08:37.959
3541,Amsterdam Ave & W 125 St,40.813358,-73.956461,2018-03-31 16:25:22.255,2019-06-22 10:21:48.962
3547,Broadway & Moylan Pl,40.8143256,-73.9590255,2018-06-15 12:28:34.357,2019-07-07 13:28:40.830
3552,W 113 St & Broadway,40.805973,-73.964928,2018-05-26 16:34:07.684,2018-05-26 16:34:07.684
3664,North Moore St & Greenwich St,40.72019521437465,-74.0103006362915,2019-06-29 22:34:17.224,2019-07-31 10:03:24.774
3674,Jay St & York St,40.70140317257725,-73.98672670125961,2019-09-11 08:59:18.180,2019-10-16 08:47:08.163
3686,Gansevoort St & Hudson St,40.73944820130404,-74.00507032871245,2019-06-17 14:05:44.112,2019-06-17 15:26:04.834
3709,W 15 St & 6 Ave,40.73804614248277,-73.99642959237099,2019-02-27 20:44:18.603,2019-02-27 20:44:18.603
3750,Forrest Tech Shop (parts testing),40.703005688283646,-73.93207671353592,2019-05-21 16:33:01.311,2019-05-21 17:09:13.553
3201,Dey St,40.737711,-74.066921,2018-01-01 18:34:07.841,2020-01-31 17:33:13.803
398,Atlantic Ave & Furman St,40.69165183,-73.99997859999999,2018-07-16 18:34:48.936,2018-08-23 17:35:27.215
417,Barclay St & Church St,40.71291224,-74.01020234,2018-08-29 15:21:40.761,2018-08-29 15:21:40.761
422,W 59 St & 10 Ave,40.770513,-73.988038,2018-08-10 19:08:42.325,2018-08-10 19:08:42.325
426,West St & Chambers St,40.71754834,-74.01322069,2018-05-18 20:57:56.355,2019-09-08 10:25:24.373
427,Bus Slip & State St,40.701907,-74.013942,2018-04-23 10:05:22.312,2018-09-27 12:40:12.961
442,W 27 St & 7 Ave,40.746646999999996,-73.993915,2019-11-01 12:15:03.140,2019-11-14 10:59:39.416
447,8 Ave & W 52 St,40.76370739,-73.9851615,2018-06-09 15:46:24.953,2019-06-03 07:31:45.828
448,W 37 St & 10 Ave,40.75660359,-73.9979009,2018-10-07 18:07:48.682,2018-10-07 18:07:48.682
453,W 22 St & 8 Ave,40.74475148,-73.99915362,2018-08-05 18:02:47.172,2018-08-05 18:02:47.172
456,E 53 St & Madison Ave,40.75971079999999,-73.97402311,2019-08-15 08:32:34.382,2019-08-15 08:32:34.382
457,Broadway & W 58 St,40.76695317,-73.98169333,2018-05-13 11:38:52.132,2018-05-13 12:23:53.891
459,W 20 St & 11 Ave,40.746745000000004,-74.007756,2018-12-15 11:25:00.844,2019-09-09 17:27:09.244
462,W 22 St & 10 Ave,40.74691959,-74.00451887,2018-02-20 14:49:46.646,2018-02-20 14:49:46.646
464,E 56 St & 3 Ave,40.75934501,-73.96759673,2019-08-22 21:41:46.527,2019-08-22 21:41:46.527
468,Broadway & W 56 St,40.7652654,-73.98192338,2019-04-12 17:54:29.261,2019-09-16 03:49:09.802
472,E 32 St & Park Ave,40.745712100000006,-73.98194829,2018-04-30 09:41:09.937,2018-04-30 09:41:09.937
477,W 41 St & 8 Ave,40.75640548,-73.9900262,2019-04-12 17:54:13.837,2019-04-12 17:54:13.837
3269,Brunswick & 6th,40.726011729646245,-74.0503889322281,2018-01-01 16:46:58.637,2020-01-31 18:12:14.821
3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,2018-01-01 13:14:36.140,2020-01-31 22:07:06.487
3271,Danforth Light Rail,40.69263996618329,-74.08801227807997,2018-01-29 14:31:43.788,2018-04-17 14:43:36.200
3272,Jersey & 3rd,40.723331586464354,-74.04595255851744,2018-01-01 16:01:44.128,2020-01-31 21:53:55.289
3273,Manila & 1st,40.72165072487999,-74.04288411140442,2018-01-02 08:28:43.573,2020-01-31 23:42:34.846
3274,Bethune Center,40.70495751672861,-74.08593088388444,2018-01-21 08:43:22.110,2018-04-26 17:58:06.868
3275,Columbus Drive,40.71835519823214,-74.03891444206238,2018-01-01 03:57:53.651,2020-01-31 21:47:06.539
3276,Marin Light Rail,40.71458403535893,-74.04281705617905,2018-01-01 01:27:17.272,2020-01-31 18:53:23.100
3277,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,2018-01-01 02:38:13.752,2020-01-30 15:13:18.943
3278,Monmouth and 6th,40.72568548362901,-74.0487903356552,2018-01-01 08:32:42.028,2020-01-31 19:06:37.172
3279,Dixon Mills,40.72163014263835,-74.04996782541275,2018-01-01 12:19:39.221,2020-01-31 17:40:23.381
3280,Astor Place,40.71928220070703,-74.07126188278198,2018-01-01 14:02:42.579,2020-01-31 17:49:34.388
3281,Leonard Gordon Park,40.74590996631558,-74.05727148056029,2018-01-02 08:22:04.407,2020-01-31 08:42:21.381
3426,JCBS Depot,40.70965083364061,-74.0686011314392,2018-01-25 16:10:41.881,2019-08-12 16:34:38.198
3481,York St,40.71649,-74.04105,2018-01-01 03:22:47.427,2020-01-31 10:10:19.582
3483,Montgomery St,40.71942,-74.05099,2018-04-28 12:26:08.379,2020-01-31 20:22:31.023
3638,Washington St,40.7242941,-74.0354826,2018-01-01 20:58:57.498,2020-01-31 22:46:58.593
3639,Harborside,40.71925170000001,-74.034234,2018-01-02 00:42:38.748,2020-01-31 21:57:13.604
3640,Journal Square,40.733670000000004,-74.0625,2018-01-01 03:49:33.126,2020-01-31 20:26:58.370
3677,Glenwood Ave,40.72755146730012,-74.07106071710588,2018-04-13 14:57:29.639,2020-01-26 16:05:33.131
